"Raf","Mek","PLCg","PIP2","PIP3","Erk","Akt","PKA","PKC","p38","JNK"
3.66867674679642,2.18605127673809,1.44926916028128,2.2213750375685,0.631271776841858,3.25424296870549,3.8416005411316,5.40717177146012,1.10525683138678,3.45315712059287,4.18205014264121
3.75185425327532,3.00568260440716,2.4932054526027,0.371563556432483,3.68887945411394,3.40784192438082,3.94931879017184,5.57594910314632,1.78170913337455,2.64617479738412,2.77881927199042
1.77155676191054,2.88480071284671,1.23256026117785,0.783901543828409,2.89591193827178,4.65396035015752,5.7037824746562,7.56423847517049,1.94304891677428,3.02042488614436,2.55722731136763
3.53514535417189,2.9338568698359,1.2947271675944,0.53062825106217,2.80336038090653,5.8636311755981,6.25190388316589,7.14124512235049,2.90690105984738,4.0842942263686,3.58073729549423
3.20274644293832,2.77258872223978,1.93441576962958,2.23964529322017,2.08691355651854,2.75366071235426,3.98527346716774,5.84643877505772,2.23108909128898,2.89591193827178,2.52572864430826
3.58905911883173,2.75366071235426,0,4.18205014264121,3.44361809754611,3.41772668361337,4.19116874685764,6.77308037565554,2.43361335540045,3.26575941076705,2.15871472257434
1.03318448334565,2.33214389523559,1.4747630091075,0,1.83418018511201,3.41772668361337,4.65396035015752,6.18001665365257,2.84490938381941,3.4904285153901,1.86252854011626
3.81330703248899,2.63188884013665,1.9154509415706,2.50143595173921,2.61006979274201,3.29212628660779,3.67882911826043,6.35957386867238,2.75366071235426,3.71357206670431,3.6163087612791
2.72785282839839,3.24649099190117,1.21491274436427,1.25846098961001,2.47653840011748,2.26695791535089,2.86220088092947,5.94542060860658,2.2213750375685,3.25424296870549,2.65324196460721
3.69635146895264,2.88480071284671,1.03318448334565,0.774727167552368,0,3.89385903480047,4.34380542185368,7.35755620091035,2.86220088092947,3.47196645255036,1.65441127807683
4.17284762371004,3.9926809084456,0,3.06805293513362,2.04122032885964,0,0.438254930931155,3.92986292355648,2.54160199346455,3.63495111208838,0.982078472412158
3.40119738166216,3.09557760852371,1.5830939370945,0.113328685307003,2.2213750375685,1.36609165380237,3.8416005411316,5.15329159449778,2.84490938381941,3.2188758248682,2.36085400111802
